,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
41,0.802,Mon Jan 29 04:01:57 +0000 2018,36868459,0.0,0.644,0.356,BBC Breaking News,".@BrunoMars wins #GRAMMYs award for 'Album of the Year' for 24K Magic

Full coverage: https://t.co/fI4XjghVUA"
42,0.802,Mon Jan 29 03:34:43 +0000 2018,36868459,0.0,0.644,0.356,BBC Breaking News,".@BrunoMars wins #GRAMMYs award for 'Record of the Year' for 24K Magic

Full coverage: https://t.co/fI4XjghVUA"
43,0.8658,Mon Jan 29 02:57:27 +0000 2018,36868459,0.0,0.573,0.427,BBC Breaking News,".@BrunoMars wins Grammy 'Song of the Year' award for That's What I Like

Full #GRAMMYs coverage: https://t.co/fI4XjghVUA"
44,0.0,Mon Jan 29 02:13:28 +0000 2018,36868459,0.0,1.0,0.0,BBC Breaking News,"Heavy gunfire and explosions heard at a military academy in Afghan capital, Kabul, media report. https://t.co/V90rFQnPNP"
45,-0.8834,Sun Jan 28 20:48:54 +0000 2018,36868459,0.377,0.623,0.0,BBC Breaking News,"Man being sought by police investigating car crash that killed three teenagers in London has been arrested, Met says https://t.co/0DkmhsgmrZ"
46,0.6249,Sun Jan 28 11:38:27 +0000 2018,36868459,0.089,0.683,0.229,BBC Breaking News,"RT @BBCSport: That's why they call him the #GOAT.

Roger Federer has won his SIXTH #ausopen and his TWENTIETH Grand Slam title.

Absolutely…"
47,-0.5574,Sun Jan 28 10:41:07 +0000 2018,36868459,0.205,0.795,0.0,BBC Breaking News,"Swedish founder of Ikea furniture chain, Ingvar Kamprad, has died at 91, company announces https://t.co/1qUI7wggGn"
48,0.5719,Sat Jan 27 14:48:51 +0000 2018,36868459,0.0,0.791,0.209,BBC Breaking News,"Czech President Milos Zeman wins a second five-year term after close vote, Czech media report https://t.co/eMr75odkTe"
49,-0.9584,Sat Jan 27 14:14:53 +0000 2018,36868459,0.6,0.4,0.0,BBC Breaking News,"Kabul suicide bomb attack latest: 
• 95 people killed 
• 158 injured 
officials in the Afghanistan capital say https://t.co/fL9SXNcHhm"
50,-0.9403,Sat Jan 27 12:46:01 +0000 2018,36868459,0.677,0.323,0.0,BBC Breaking News,Death toll in Kabul suicide bomb attack rises to 63 https://t.co/xrx5R4O8Nq
51,0.69,Sat Jan 27 11:26:30 +0000 2018,36868459,0.084,0.647,0.268,BBC Breaking News,"RT @BBCSport: We have a new world number one! 

Caroline Wozniacki has won her first Grand Slam title at the #ausopen at her third attempt.…"
52,-0.946,Sat Jan 27 10:29:43 +0000 2018,36868459,0.474,0.526,0.0,BBC Breaking News,LATEST: Taliban used ambulance to carry out suicide bomb attack in #Kabul which has killed at least 40 people - off… https://t.co/4sbHqfgXCs
53,-0.8402,Sat Jan 27 09:57:13 +0000 2018,36868459,0.32,0.68,0.0,BBC Breaking News,"UPDATE: Taliban suicide bombing in Afghan capital Kabul kills at least 17 people and injures more than 100 

https://t.co/deMItPEGWj"
54,-0.802,Sat Jan 27 09:39:16 +0000 2018,36868459,0.375,0.625,0.0,BBC Breaking News,Six people confirmed killed and 79 injured by bombing in Afghan capital Kabul https://t.co/iQ1oNvTysP
55,0.3182,Sat Jan 27 08:56:18 +0000 2018,36868459,0.0,0.827,0.173,BBC Breaking News,Casualties reported after huge explosion in centre of Afghan capital Kabul https://t.co/6io5rfRD31
56,0.3612,Fri Jan 26 19:44:32 +0000 2018,36868459,0.096,0.742,0.162,BBC Breaking News,"Bombardier wins trade case in US, overturning decision to impose 292% tariffs on imports of its C-Series aircraft https://t.co/JflFAZbT3C"
57,-0.6908,Fri Jan 26 18:21:10 +0000 2018,36868459,0.239,0.761,0.0,BBC Breaking News,"Deaths of Canadian billionaire couple Barry and Honey Sherman treated as murder, Toronto police say https://t.co/9t79aVw6wn"
