,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
640,muroto,jp,"{'lon': 134.149994, 'lat': 33.283329}",1856392,33.28,134.15,1517040000,42.8,33,20,12.75,1517130000,50.19,100,100,13.11,1517043600,1517464800,46.86,100.0,45.5,13.9755
641,terrasini,it,"{'lon': 13.08444, 'lat': 38.14595}",6537752,38.15,13.08,1517041200,55.4,66,0,1.12,1517054400,58.53,98,32,12.1,1517043600,1517464800,56.772000000000006,99.875,22.8,6.40925
642,sao felix do xingu,br,"{'lon': -51.994999, 'lat': -6.64472}",3388847,-6.64,-51.99,1517043176,69.9,100,20,0.38,1517065200,84.51,76,24,2.82,1517043600,1517464800,76.47650000000002,91.225,38.1,2.4292499999999997
643,lar,ir,"{'lon': 54.3357845, 'lat': 27.6741406}",0,27.67,54.34,1517040000,71.6,24,0,2.73,1517043600,81.07,22,0,2.73,1517043600,1517464800,46.066500000000005,42.95,6.8,2.903
644,evanston,us,"{'lon': -110.963242, 'lat': 41.26828}",5824805,41.27,-110.96,1517039580,14.0,85,75,9.17,1517086800,27.17,82,12,14.94,1517043600,1517464800,23.762,76.225,28.6,9.4425
646,maracaju,br,"{'lon': -55.168331, 'lat': -21.614441}",3457859,-21.61,-55.17,1517043178,70.98,95,76,9.22,1517086800,86.48,62,8,8.01,1517043600,1517464800,76.48925,92.175,68.6,5.356
647,sortland,no,"{'lon': 15.41618, 'lat': 68.694939}",3137405,68.69,15.42,1517039400,12.22,85,0,6.93,1517130000,23.64,100,0,14.67,1517043600,1517464800,22.14175,100.0,39.1,7.71925
648,tkibuli,ge,"{'lon': 42.994164, 'lat': 42.34141229999999}",0,42.34,42.99,1517040000,42.8,93,40,3.36,1517043600,49.32,72,36,2.06,1517043600,1517464800,26.153250000000003,87.375,60.9,1.77025
649,karratha,au,"{'lon': 116.846291, 'lat': -20.73765}",6620339,-20.74,116.85,1517043180,106.31,19,24,15.03,1517119200,110.58,17,0,12.46,1517043600,1517464800,90.0765,40.1,40.2,11.556000000000001
650,college,us,"{'lon': -147.80278, 'lat': 64.856941}",5859699,64.86,-147.8,1517039880,-14.18,75,90,2.84,1517043600,-17.07,38,20,2.84,1517043600,1517464800,-25.5045,36.775,5.6,4.3875
651,mandalgovi,mn,"{'lon': 106.270828, 'lat': 45.762501}",2030065,45.76,106.27,1517043181,-8.76,71,0,15.37,1517130000,7.12,80,64,14.23,1517043600,1517464800,-8.6065,60.65,9.5,10.527750000000001
