Registrar,Total Number of Domains,Change,Share Percent
GuangDong NaiSiNiKe Information Technology Co Ltd.,"4,349",1 ,0.00%
Stichting Registrar of Last Resort Foundation,"4,288",0 ,0.00%
Online SAS,"4,253",-1 ,0.00%
"Whois Networks Co., Ltd.","4,225",-3 ,0.00%
"Xiamen 35.Com Technology Co., Ltd.","4,200",0 ,0.00%
Hostpoint AG,"4,113",-2 ,0.00%
CNOBIN INFORMATION TECHNOLOGY LIMITED,"3,963",-4 ,0.00%
"Chengdu Fly-Digital Technology Co., Ltd.","3,896",2 ,0.00%
"Entorno Digital, S.A. (entorno.es)","3,811",0 ,0.00%
SafeBrands SAS,"3,701",1 ,0.00%
MAFF Inc.,"3,662",5 ,0.00%
Variomedia AG dba puredomain.com,"3,447",2 ,0.00%
Netzadresse.at Domain Service GmbH,"3,360",-1 ,0.00%
"Foshan YiDong Network Co., LTD","3,270",-1 ,0.00%
Ligne Web Services SARL dba LWS,"3,168",-2 ,0.00%
"Shenzhen HuLianXianFeng Technology Co.,LTD","3,131",-2 ,0.00%
"Beijing Sanfront Information Technology Co., Ltd","3,108",2 ,0.00%
Hu Yi Global Information Hong Kong Limited,"2,963",2 ,0.00%
Blacknight Internet Solutions Ltd.,"2,759",19 ,0.00%
"Promo People, Inc.","2,673",-1 ,0.00%
http.net Internet GmbH,"2,624",20 ,0.00%
"IHS Telekom, Inc.","2,624",-1 ,0.00%
"Beijing Zihai Technology Co., Ltd","2,610",1 ,0.00%
Web4Africa Inc.,"2,293",2 ,0.00%
Dotname Korea Corp.,"2,180",1 ,0.00%
IP Twins SAS,"2,170",0 ,0.00%
"Interlink Co., Ltd.","2,028",1 ,0.00%
Nhan Hoa Software Company Ltd.,"1,926",2 ,0.00%
AB Name ISP,"1,872",0 ,0.00%
Server Plan Srl,"1,865",0 ,0.00%
BigRock Solutions Ltd.,"1,811",2 ,0.00%
Nominalia Internet S.L.,"1,806",-2 ,0.00%
Dattatec.com SRL,"1,781",0 ,0.00%
"Network Information Center, S. A. de C. V.","1,761",2 ,0.00%
Ports Group AB,"1,699",3 ,0.00%
BDL Systemes SAS dba ProDomaines,"1,548",-2 ,0.00%
Beijing ZhongWan Network Technology Co Ltd,"1,534",0 ,0.00%
CPS-Datensysteme GmbH,"1,504",0 ,0.00%
"Inames Co., Ltd.","1,443",-1 ,0.00%
"Name.net, Inc. (Rightside)","1,364",-1 ,0.00%
"DomainSite, Inc.","1,354",-6 ,0.00%
EU Technology (HK) Limited,"1,352",3 ,0.00%
"Hangzhou AiMing Network Co., Ltd.","1,265",1 ,0.00%
AF Proxy Services Ltd,"1,223",2 ,0.00%
Domain The Net Technologies Ltd.,"1,138",1 ,0.00%
Infomaniak Network SA,"1,060",1 ,0.00%
Secura GmbH,"1,048",1 ,0.00%
"Freeparking Domain Registrars, Inc.","1,036",0 ,0.00%
OpenTLD B.V.,"1,023",0 ,0.00%
The Registrar Company B.V.,981,3 ,0.00%
Sibername Internet and Software Technologies Inc.,979,-1 ,0.00%
ZNet Technologies Pvt Ltd.,944,-5 ,0.00%
"Guangdong JinWanBang Technology Investment Co., Ltd.",932,0 ,0.00%
BR domain Inc. dba namegear.co,929,0 ,0.00%
"Omnis Network, LLC",832,-1 ,0.00%
Zhong Yu Network Technology Company Limited,777,0 ,0.00%
Netistrar Limited,744,-1 ,0.00%
Register.ca Inc.,734,-2 ,0.00%
"Zhengzhou Zitian Network Technology Co., Ltd.",722,0 ,0.00%
Aerotek Bilisim Sanayi ve Ticaret AS,721,0 ,0.00%
Registrator Domenov LLC,719,4 ,0.00%
Brandma.co Limited,713,1 ,0.00%
CCI REG S.A.,708,3 ,0.00%
"Netpia.com, Inc.",691,0 ,0.00%
Rebel Ltd,680,-3 ,0.00%
iNET CORPORATION,678,1 ,0.00%
BB-Online UK Limited,656,2 ,0.00%
Atak Domain Hosting Internet ve Bilgi Teknolojileri Limited Sirketi d/b/a Atak Teknoloji,651,3 ,0.00%
PlanetHoster Inc.,649,1 ,0.00%
"Dominion Domains, LLC",620,0 ,0.00%
"Netowl, Inc.",614,3 ,0.00%
"$$$ Private Label Internet Service Kiosk, Inc. (dba ""PLISK.com"")",535,-1 ,0.00%
"Hangzhou Dianshang Internet Technology Co., LTD.",534,0 ,0.00%
Demys Limited,508,0 ,0.00%
TierraNet Inc. d/b/a DomainDiscover,500,2 ,0.00%
Shinjiru Technology Sdn Bhd,482,0 ,0.00%
Henan Weichuang Network Technology Co. Ltd.,459,0 ,0.00%
French Connexion SARL dba Domaine.fr,459,0 ,0.00%
Internet Domain Name System Beijing Engineering Research Center LLC (ZDNS),455,0 ,0.00%
Genious Communications SARL/AU,445,0 ,0.00%
Papaki Ltd,434,0 ,0.00%
"Register4Less, Inc.",402,0 ,0.00%
"Acens Technologies, S.L.U.",378,0 ,0.00%
REGISTER.IT SPA,355,0 ,0.00%
Rabbitsfoot.com LLC d/b/a Oxygen.nyc,340,0 ,0.00%
KuwaitNET General Trading Co.,317,0 ,0.00%
"Koreacenter co., Ltd.",313,1 ,0.00%
LEMARIT GmbH,289,0 ,0.00%
"Sea Wasp, LLC",248,0 ,0.00%
"Domain-It!, Inc.",247,-1 ,0.00%
Inic GmbH,239,0 ,0.00%
CommuniGal Communication Ltd.,234,0 ,0.00%
"Interdominios, Inc.",213,1 ,0.00%
Net 4 India Limited,208,0 ,0.00%
"Beijing Lanhai Jiye Technology Co.,Ltd",207,0 ,0.00%
NordNet SA,207,1 ,0.00%
ELB Multimedia,206,0 ,0.00%
Hogan Lovells International LLP,198,0 ,0.00%
Authentic Web Inc.,196,0 ,0.00%
Kagoya Japan Inc.,194,0 ,0.00%
Mijn InternetOplossing B.V.,187,0 ,0.00%
Above.com Pty Ltd.,187,2 ,0.00%
Danesco Trading Ltd.,169,0 ,0.00%
"Japan Registry Services Co., Ltd.",166,0 ,0.00%
Protocol Internet Technology Limited T/A Hosting Ireland,166,3 ,0.00%
LiquidNet Ltd.,161,3 ,0.00%
